##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/10/17
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-1&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;flags&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;cteff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;ra&quot;:{&quot;max&quot;:360.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,
60017822,K2E,-1,1,0.4034248,0.0006381,54999.154199,0.023002,0.2998,0.2897,0.1789,0.1925,0.5088,0.90,352.8183,-5.3717,-1.0000,-1.0000,11.3000,-1.0000,-1.0000,-1.0000,False,
201704541,K2C1,-1,1,0.4113754,0.0000194,1975.245176,0.024774,0.2827,0.1994,0.1739,0.1883,0.5019,0.75,170.4861,3.7158,-1.0000,-1.0000,12.6690,-1.0000,-1.0000,-1.0000,False,
210489231,K2C4,-1,1,0.4139676,0.0000244,2457062.037330,0.013156,0.3478,0.1087,0.1425,0.0876,0.4784,0.62,58.1792,15.2285,-1.0000,-1.0000,14.4440,-1.0000,-1.0000,-1.0000,False,
212037558,K2C5,-1,1,0.4180342,-1,2457140.023420,0.042312,0.4152,0.4519,0.1012,0.1070,0.4985,0.73,126.5765,20.8805,-1.0000,-1.0000,11.8820,-1.0000,-1.0000,-1.0000,False,
60017946,K2E,-1,1,0.4206697,0.0006935,54997.321155,0.008275,0.1875,0.0339,0.1064,0.1428,0.5601,0.56,357.0410,-0.5324,-1.0000,-1.0000,17.2490,-1.0000,-1.0000,-1.0000,False,
211489039,K2C5,-1,1,0.4216692,0.0000224,2457139.873500,0.023408,0.3438,0.3481,0.1646,0.1585,0.5000,0.76,135.2461,12.9811,-1.0000,-1.0000,11.7600,-1.0000,-1.0000,-1.0000,False,
210835735,K2C4,-1,1,0.4300000,0.0000258,2457062.409800,0.023170,0.1696,-1.0000,0.1749,-1.0000,1.0000,0.70,60.2635,20.4140,-1.0000,-1.0000,11.8250,-1.0000,-1.0000,-1.0000,False,
201193666,K2C1,-1,1,0.4329479,0.0000209,1975.302987,0.012372,0.3322,0.2796,0.1364,0.1320,0.5033,0.65,169.0301,-4.2505,-1.0000,-1.0000,14.6170,-1.0000,-1.0000,-1.0000,False,
211394059,K2C5,-1,1,0.4346396,0.0000236,2457139.958300,0.025290,0.2657,0.1861,0.1159,0.1078,0.5221,0.74,133.6623,11.5500,-1.0000,-1.0000,14.4780,-1.0000,-1.0000,-1.0000,False,
60017821,K2E,-1,1,0.4399699,0.0006935,54999.551403,0.031194,0.3993,0.0918,0.1201,0.2406,0.5493,0.56,355.0934,-7.7970,-1.0000,-1.0000,13.0000,-1.0000,-1.0000,-1.0000,False,
211412192,K2C5,-1,1,0.4412840,0.0000240,2457139.731640,0.028429,0.1009,-1.0000,0.2178,-1.0000,1.0000,0.77,132.8673,11.8243,-1.0000,-1.0000,12.8150,-1.0000,-1.0000,-1.0000,False,
211631904,K2C5,-1,1,0.4420138,0.0000240,2457139.604380,0.010969,0.3230,0.1531,0.1247,0.0926,0.4984,0.59,130.1754,14.9839,-1.0000,-1.0000,13.9890,-1.0000,-1.0000,-1.0000,False,
211841249,K2C5,-1,1,0.4450514,0.0000244,2457140.042080,0.022987,0.0120,0.0116,0.2606,0.2700,0.5015,0.99,126.8957,17.8989,-1.0000,-1.0000,14.6460,-1.0000,-1.0000,-1.0000,False,
211143504,K2C4,-1,1,0.4460764,0.0000272,2457063.445020,0.042082,0.0765,-1.0000,0.1984,-1.0000,1.0000,0.79,57.0320,25.3153,-1.0000,-1.0000,13.4630,-1.0000,-1.0000,-1.0000,False,
211434817,K2C5,-1,1,0.4509528,0.0000249,2457140.009490,0.025858,0.1027,0.0929,0.2027,0.2593,0.5044,0.92,133.3293,12.1674,-1.0000,-1.0000,13.7940,-1.0000,-1.0000,-1.0000,False,
205200600,K2C2,-1,1,0.4517835,0.0000232,56893.648387,0.022169,0.4390,-1.0000,0.0866,-1.0000,1.0000,0.62,251.0870,-18.8955,-1.0000,-1.0000,11.8440,-1.0000,-1.0000,-1.0000,False,
211843564,K2C5,-1,1,0.4520223,-1,2457140.078130,0.006818,0.0069,-1.0000,0.0802,-1.0000,1.0000,0.52,123.1522,17.9302,-1.0000,-1.0000,16.0420,-1.0000,-1.0000,-1.0000,False,
